등록외국인 국적별·지역별 현황(2021. 3. 31. 현재)                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도,시군구,성별,총합계,한국계중국인,베트남,중국,우즈베키스탄,필리핀,캄보디아,네팔,인도네시아,타이,미국,몽골,미얀마,일본,스리랑카,타이완,카자흐스탄,방글라데시,러시아(연방),파키스탄,인도,영국,캐나다,키르기즈,프랑스,말레이시아,우크라이나,이집트,나이지리아,남아프리카공화국,티모르민주공화국,독일,홍콩,오스트레일리아,시리아,한국계러시아인,터키,모로코,가나,이란,예멘공화국,라오스,에티오피아,카메룬,이탈리아,브라질,사우디아라비아,뉴질랜드,스페인,아일랜드,싱가포르,멕시코,라이베리아,타지키스탄,우간다,리비아,알제리,네덜란드,콜롬비아,폴란드,케냐,페루,요르단,스웨덴,벨기에,아프가니스탄,세네갈,이라크,투르크메니스탄,튀니지,기니,스위스,수단,르완다,탄자니아,콩고민주공화국,그리스,에콰도르,벨로루시,말리,아랍에미리트연합,노르웨이,루마니아,오스트리아,덴마크,아제르바이잔,핀란드,헝가리,코트디부아르,칠레,이스라엘,베네수엘라,포르투갈,앙골라,감비아,불가리아,체코,아르헨티나,부룬디,무국적,잠비아,짐바브웨,마카오,리투아니아,파라과이,시에라리온,가봉,파나마,과테말라,슬로바크,크로아티아,조지아,영국외지민,아르메니아,세르비아,도미니카공화국,볼리비아,코스타리카,모잠비크,엘살바도르,팔레스타인,라트비아,피지,부르키나파소,몰도바,토고,브루나이,온두라스,미등록국가,자메이카,쿠웨이트,오만,에스토니아,슬로베니아,국제연합,아이티,레바논,니카라과,쿠바,알바니아,남수단공화국,우루과이,말라위,마다가스카르,콩고,부탄,카타르,기니비사우,키프로스,트리니다드토바고,소말리아,보츠와나,베냉,룩셈부르크,모리셔스,에리트레아,차드,에스와티니,세인트크리스토퍼네비스,키리바시,바레인,몰타,모리타니,마케도니아,아이슬란드,몬테네그로,니제르,적도기니,중앙아프리카공화국,보스니아-헤르체고비나,바누아투,바하마,레소토,도미니카연방,가이아나,파푸아뉴기니,코소보,솔로몬군도,세이셸,벨리즈,몰디브,팔라우,통가,지부티,나우루,홍콩거주난민,투발루,코모로,수리남,세인트루시아,바베이도스,리히텐슈타인,나미비아
경상남도,거제시,총계,"6,167",418,"1,092",422,663,282,74,321,412,186,136,22,283,122,212,27,44,7,94,11,267,122,25,15,259,63,10,38,6,18,83,10,,37,,4,6,1,1,8,,5,,,97,18,,10,6,10,17,4,2,,,,,12,5,7,,1,,2,6,,1,1,1,3,,,,,,,62,1,,,,24,17,,5,,4,,,,,2,9,1,1,4,,,,,,,,,,,,,,,7,,,,,2,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,거제시,남성,"4,253",213,629,158,609,62,47,305,390,130,94,14,283,44,206,17,21,7,41,10,185,100,17,9,175,45,8,29,5,6,83,8,,23,,2,6,1,1,5,,,,,69,10,,8,3,2,11,2,2,,,,,11,3,5,,,,2,5,,1,1,,2,,,,,,,59,,,,,22,12,,4,,2,,,,,1,6,,1,2,,,,,,,,,,,,,,,4,,,,,1,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,거제시,여성,"1,914",205,463,264,54,220,27,16,22,56,42,8,,78,6,10,23,,53,1,82,22,8,6,84,18,2,9,1,12,,2,,14,,2,,,,3,,5,,,28,8,,2,3,8,6,2,,,,,,1,2,2,,1,,,1,,,,1,1,,,,,,,3,1,,,,2,5,,1,,2,,,,,1,3,1,,2,,,,,,,,,,,,,,,3,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,거창군,총계,501,37,161,38,26,18,41,27,9,14,7,3,39,17,6,6,4,3,1,7,1,1,5,,,,,,,12,3,,,,9,,,,,1,,2,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,거창군,남성,240,13,48,8,25,10,16,18,8,9,3,1,39,,6,3,3,3,1,7,1,,4,,,,,,,5,3,,,,3,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,거창군,여성,261,24,113,30,1,8,25,9,1,5,4,2,,17,,3,1,,,,,1,1,,,,,,,7,,,,,6,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,고성군,총계,"1,102",35,305,55,41,42,95,61,186,50,12,21,44,15,94,12,1,3,,3,,1,1,1,,,,,,1,14,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,고성군,남성,803,16,162,28,35,19,71,60,183,46,4,9,42,3,93,5,,3,,3,,1,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,고성군,여성,299,19,143,27,6,23,24,1,3,4,8,12,2,12,1,7,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,김해시,총계,"16,640","1,245","3,978","1,201","1,930",866,915,831,"1,049",495,56,198,682,164,935,61,398,328,307,314,113,33,15,106,2,6,94,21,3,33,14,1,2,5,70,49,3,18,1,2,1,13,3,1,6,5,1,3,2,4,1,3,,5,1,,5,,,3,,3,1,1,,6,,6,2,4,,,,,,1,1,,,,,,1,,,3,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,김해시,남성,"11,788",735,"2,328",471,"1,443",629,823,786,"1,002",380,34,116,674,28,901,25,217,305,149,299,98,20,7,71,2,1,50,20,3,14,13,1,2,4,45,22,3,11,1,2,1,2,2,1,5,3,,3,,3,,,,3,1,,5,,,1,,1,1,1,,5,,3,2,3,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,김해시,여성,"4,852",510,"1,650",730,487,237,92,45,47,115,22,82,8,136,34,36,181,23,158,15,15,13,8,35,,5,44,1,,19,1,,,1,25,27,,7,,,,11,1,,1,2,1,,2,1,1,3,,2,,,,,,2,,2,,,,1,,3,,1,,,,,,,1,,,,,,1,,,2,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,남해군,총계,782,8,160,64,3,10,8,7,359,1,5,1,2,19,66,,,1,1,,,,1,,,,,1,,3,54,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,남해군,남성,654,4,95,50,2,,1,5,359,,2,1,2,4,66,,,1,,,,,,,,,,1,,2,54,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,남해군,여성,128,4,65,14,1,10,7,2,,1,3,,,15,,,,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,밀양시,총계,"2,537",97,346,91,121,137,896,237,61,138,11,25,114,37,74,23,11,23,30,18,9,2,6,5,,3,,3,,6,,,1,1,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,밀양시,남성,"1,186",47,123,34,107,103,162,148,57,88,5,16,112,3,72,10,5,23,24,18,7,1,5,4,,2,,3,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,밀양시,여성,"1,351",50,223,57,14,34,734,89,4,50,6,9,2,34,2,13,6,,6,,2,1,1,1,,1,,,,4,,,1,1,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,사천시,총계,"2,939",92,918,235,119,104,91,87,751,34,124,24,57,42,97,9,6,12,3,20,12,2,4,1,41,,,1,,5,5,2,,1,1,,,,,3,,5,,,,,,,1,1,2,,,,2,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,12,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,사천시,남성,"2,284",53,649,153,113,54,57,85,746,14,76,12,57,10,96,7,2,12,2,20,8,1,4,,22,,,1,,2,5,1,,1,1,,,,,2,,3,,,,,,,1,1,2,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,사천시,여성,655,39,269,82,6,50,34,2,5,20,48,12,,32,1,2,4,,1,,4,1,,1,19,,,,,3,,1,,,,,,,,1,,2,,,,,,,,,,,,,1,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,산청군,총계,557,17,171,18,21,6,139,78,,15,5,3,24,14,26,1,2,4,,,,1,1,,,,,,1,2,2,,,2,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,산청군,남성,261,7,77,4,19,,36,42,,4,3,2,24,1,26,,1,4,,,,1,1,,,,,,1,2,2,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,산청군,여성,296,10,94,14,2,6,103,36,,11,2,1,,13,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,양산시,총계,"5,769",501,"1,543",499,353,357,268,277,264,248,72,81,158,91,242,29,175,82,92,81,54,8,20,32,6,10,14,20,5,16,6,4,3,4,47,5,9,10,14,1,,4,,14,1,2,,1,4,5,,5,,5,1,,2,2,1,1,5,1,,,,,,,1,3,,,,1,,,,,1,,,,,,1,1,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,양산시,남성,"3,631",259,768,158,251,229,205,268,256,191,35,52,156,12,238,9,101,80,49,78,46,4,16,18,4,7,11,16,3,7,6,3,2,4,27,1,7,5,13,,,,,7,1,1,,1,1,3,,1,,5,1,,2,2,,1,4,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,양산시,여성,"2,138",242,775,341,102,128,63,9,8,57,37,29,2,79,4,20,74,2,43,3,8,4,4,14,2,3,3,4,2,9,,1,1,,20,4,2,5,1,1,,4,,7,,1,,,3,2,,4,,,,,,,1,,1,,,,,,,,1,2,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,의령군,총계,711,28,260,29,62,17,117,68,28,28,4,2,24,8,4,,3,3,3,12,,,,,,,,,,1,,,,1,4,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,의령군,남성,471,19,149,13,57,6,66,49,28,26,3,1,24,,4,,3,3,2,10,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,의령군,여성,240,9,111,16,5,11,51,19,,2,1,1,,8,,,,,1,2,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,진주시,총계,"4,573",172,"1,904",379,300,165,251,154,125,93,119,164,102,62,127,21,29,29,22,123,70,24,14,3,1,7,1,4,6,17,4,3,2,8,23,,4,1,,11,,2,,,,1,,4,,2,1,,,,1,,1,1,,1,,3,,1,,,1,,,,,,,5,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,진주시,남성,"2,744",95,"1,050",163,264,80,123,127,113,40,58,81,99,7,123,9,15,26,5,116,47,19,11,3,,1,,3,6,10,4,2,,4,13,,3,1,,8,,,,,,,,2,,2,1,,,,1,,,1,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,진주시,여성,"1,829",77,854,216,36,85,128,27,12,53,61,83,3,55,4,12,14,3,17,7,23,5,3,,1,6,1,1,,7,,1,2,4,10,,1,,,3,,2,,,,1,,2,,,,,,,,,1,,,1,,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창녕군,총계,"2,197",77,424,57,258,83,245,201,120,63,13,27,127,16,100,1,177,34,76,11,,3,,40,,2,16,1,,,9,,,1,1,7,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창녕군,남성,"1,474",39,191,18,161,52,163,180,110,50,6,17,127,3,96,1,110,34,54,9,,2,,23,,1,10,1,,,9,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창녕군,여성,723,38,233,39,97,31,82,21,10,13,7,10,,13,4,,67,,22,2,,1,,17,,1,6,,,,,,,1,,4,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 마산합포구,총계,"2,047",131,547,594,76,45,103,26,162,45,44,6,30,49,23,28,1,23,8,28,4,9,5,,2,,1,1,2,13,21,3,4,2,,,,,,,,2,,,,,,1,,3,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 마산합포구,남성,"1,170",62,257,303,60,10,59,20,155,30,30,3,30,11,23,13,,23,3,27,1,7,2,,1,,,1,,7,21,3,2,2,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 마산합포구,여성,877,69,290,291,16,35,44,6,7,15,14,3,,38,,15,1,,5,1,3,2,3,,1,,1,,2,6,,,2,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 마산회원구,총계,"1,855",288,769,215,74,60,49,21,51,24,14,92,4,41,21,16,,25,1,42,4,3,5,2,1,,2,,,14,,,2,1,8,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 마산회원구,남성,"1,006",168,391,75,65,14,32,20,39,10,6,55,4,4,21,7,,25,,42,4,2,5,2,1,,,,,3,,,,1,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 마산회원구,여성,849,120,378,140,9,46,17,1,12,14,8,37,,37,,9,,,1,,,1,,,,,2,,,11,,,2,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 성산구,총계,"3,112",291,950,310,193,210,114,42,204,60,59,15,35,174,44,15,70,93,15,48,30,14,25,11,2,,5,2,2,17,1,5,3,9,,3,,,1,2,,3,1,,,6,,1,1,,2,,2,,,,1,1,,,,1,,1,,1,,,4,,,1,,,,1,,,,,,,1,,1,,,,,,,,4,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 성산구,남성,"2,085",185,656,128,139,156,100,40,199,29,28,10,35,41,43,10,36,85,4,42,24,9,16,6,1,,4,2,2,10,1,5,3,8,,2,,,,2,,,1,,,3,,1,1,,,,2,,,,,1,,,,1,,1,,1,,,2,,,1,,,,1,,,,,,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 성산구,여성,"1,027",106,294,182,54,54,14,2,5,31,31,5,,133,1,5,34,8,11,6,6,5,9,5,1,,1,,,7,,,,1,,1,,,1,,,3,,,,3,,,,,2,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 의창구,총계,"3,197",457,"1,130",441,82,161,128,64,93,35,38,90,27,109,76,20,4,12,8,103,14,5,16,9,4,1,7,3,1,6,2,9,2,1,,,2,3,1,3,3,3,,,,2,,2,1,,,,5,,,,1,4,,,,1,1,1,,,,,,,2,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 의창구,남성,"1,764",248,584,173,58,99,81,55,82,20,18,44,27,11,75,6,3,12,4,94,10,3,9,4,3,1,2,1,1,2,2,7,1,,,,1,1,1,1,3,1,,,,,,2,,,,,5,,,,1,2,,,,1,1,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 의창구,여성,"1,433",209,546,268,24,62,47,9,11,15,20,46,,98,1,14,1,,4,9,4,2,7,5,1,,5,2,,4,,2,1,1,,,1,2,,2,,2,,,,2,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 진해구,총계,"3,043",442,755,365,290,159,128,36,246,62,133,9,33,55,71,20,74,17,25,18,6,8,3,9,3,4,5,1,2,5,7,4,2,4,,1,3,,,,,4,,,1,1,4,,,2,2,,,,,,,,5,,,3,,2,1,,,,1,2,,1,,,,,1,,,,,,,1,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 진해구,남성,"1,856",231,396,139,238,90,95,34,233,35,81,6,32,15,68,12,43,15,10,16,6,6,1,4,2,1,3,,2,,6,4,,3,,,3,,,,,2,,,1,1,4,,,2,1,,,,,,,,2,,,2,,2,,,,,1,1,,,,,,,1,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상남도,창원시 진해구,여성,"1,187",211,359,226,52,69,33,2,13,27,52,3,1,40,3,8,31,2,15,2,,2,2,5,1,3,2,1,,5,1,,2,1,,1,,,,,,2,,,,,,,,,1,,,,,,,,3,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
