국적(지역) 및 체류자격별 장단기체류외국인(2021. 4. 30.현재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,단 기 체 류 자 격,,,,,  장 기 체 류 자 격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대륙,국적,성별,총합계,B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),T2(조건부입국허가),기타,,,,,
아시아주,캄보디아,남성,"27,397",40,55,,101,7,,177,1,63,,4,,9,2,9,2,,9,,,,95,,"25,244",,625,65,6,5,14,493,33,,,,,338,,,,,
아시아주,캄보디아,여성,"13,237",15,15,,101,13,,141,,45,,,,2,,8,,,1,,,,16,,"7,350",,"1,141",157,20,1,81,"3,959",38,,,,,133,,,,,
아시아주,네팔,총계,"37,367",,298,,724,33,,"2,540",19,225,,77,,59,29,141,18,,96,,,,793,,"28,917",,245,323,463,,137,706,490,,,,,"1,034",,,,,
아시아주,네팔,남성,"32,809",,284,,589,27,,"1,680",17,137,,60,,54,25,93,16,,84,,,,785,,"27,155",,75,173,125,,77,149,365,,,,,839,,,,,
아시아주,네팔,여성,"4,558",,14,,135,6,,860,2,88,,17,,5,4,48,2,,12,,,,8,,"1,762",,170,150,338,,60,557,125,,,,,195,,,,,
아시아주,인도네시아,총계,"35,360",,366,,"2,143",3,1,"1,401",80,245,,60,12,15,13,126,21,3,47,2,6,31,217,,"22,373","5,953",109,153,376,209,194,849,98,,,14,,240,,,,,
아시아주,인도네시아,남성,"31,194",,309,,"1,506",3,1,584,58,78,,15,9,9,12,37,15,,31,2,6,3,139,,"21,712","5,952",29,63,117,173,24,99,74,,,5,,129,,,,,
아시아주,인도네시아,여성,"4,166",,57,,637,,,817,22,167,,45,3,6,1,89,6,3,16,,,28,78,,661,1,80,90,259,36,170,750,24,,,9,,111,,,,,
아시아주,카자흐스탄,총계,"30,033","8,425",3,,207,,,651,6,113,1,,,9,4,68,4,1,6,,,5,50,,38,,"3,952",97,62,"6,285",145,365,"3,482",,"5,787",,,267,,,,,
아시아주,카자흐스탄,남성,"17,188","5,671",2,,120,,,204,6,37,1,,,7,4,20,,,4,,,2,26,,34,,"1,813",32,23,"3,327",40,24,"2,209",,"3,423",,,159,,,,,
아시아주,카자흐스탄,여성,"12,845","2,754",1,,87,,,447,,76,,,,2,,48,4,1,2,,,3,24,,4,,"2,139",65,39,"2,958",105,341,"1,273",,"2,364",,,108,,,,,
아시아주,일본,총계,"27,280",25,"1,843",,164,725,3,"1,474",,"1,412",41,44,181,"1,699",129,90,80,142,206,10,10,172,351,,,,289,502,"1,103",706,"7,498","7,605",8,136,,1,,631,,,,,
아시아주,일본,남성,"7,231",16,850,,122,710,2,252,,177,39,24,164,"1,656",122,15,49,27,196,10,10,69,199,,,,107,152,294,173,689,802,4,12,,,,289,,,,,
아시아주,일본,여성,"20,049",9,993,,42,15,1,"1,222",,"1,235",2,20,17,43,7,75,31,115,10,,,103,152,,,,182,350,809,533,"6,809","6,803",4,124,,1,,342,,,,,
아시아주,미얀마,총계,"25,154",,160,,687,1,,734,33,341,,73,,4,1,137,3,1,15,,,1,46,,"20,844",810,38,345,39,,25,236,424,,,,,156,,,,,
